NOTE: column amd-gfx942 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| gbdt-adapter-reg/base        | IDENTICAL x3 | 3f8aef8d73be249c | 3f8aef8d73be249c | 3f8aef8d73be249c |
| gbdt-adapter-reg/denormal    | IDENTICAL x3 | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-adapter-reg/denormal_ftz | IDENTICAL x3 | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-adapter-reg/dupes       | IDENTICAL x3 | 49848bfd3c26b52e | 49848bfd3c26b52e | 49848bfd3c26b52e |
| gbdt-adapter-reg/hashed      | IDENTICAL x3 | a89dba586c0f1ab4 | a89dba586c0f1ab4 | a89dba586c0f1ab4 |
| gbdt-adapter-reg/negative    | IDENTICAL x3 | e54f74cdab3f29f0 | e54f74cdab3f29f0 | e54f74cdab3f29f0 |
| gbdt-adapter-reg/odd         | IDENTICAL x3 | 7b54ca9d69e29714 | 7b54ca9d69e29714 | 7b54ca9d69e29714 |
| gbdt-adapter-reg/ties        | IDENTICAL x3 | 88cba1574daa922e | 88cba1574daa922e | 88cba1574daa922e |
| gbdt-adapter-reg/wide        | IDENTICAL x3 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 |
| gbdt-categorical-ctr/base    | IDENTICAL x3 | 3c492b90c998f095 | 3c492b90c998f095 | 3c492b90c998f095 |
| gbdt-categorical-ctr/denormal | IDENTICAL x3 | 3c492b90c998f095 | 3c492b90c998f095 | 3c492b90c998f095 |
| gbdt-categorical-ctr/denormal_ftz | IDENTICAL x3 | 3c492b90c998f095 | 3c492b90c998f095 | 3c492b90c998f095 |
| gbdt-categorical-ctr/dupes   | IDENTICAL x3 | ee68c4c16449a9d5 | ee68c4c16449a9d5 | ee68c4c16449a9d5 |
