NOTE: --require-columns defaults to 2 (2026-09-20): every compared cell must rest on at least two real hashes, or it was not compared. Pass --require-columns 0 to turn the floor off, or a higher N to demand more.
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=51f93ced484d8e32e6e5f6f60f1fbe01ec207dd5
NOTE: column cpu-apple-m4 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
NOTE: column arm64 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
| lane/fixture                 | verdict    | cpu-apple-m4     | arm64            |
| gbdt-multiclass/odd          | IDENTICAL x2 | 455dd5addb3f02c2 | 455dd5addb3f02c2 |
| gbdt-nan-modes/base          | IDENTICAL x2 | 78578cb9693251c7 | 78578cb9693251c7 |
| gbdt-nan-modes/denormal      | IDENTICAL x2 | 78578cb9693251c7 | 78578cb9693251c7 |
| gbdt-nan-modes/odd           | IDENTICAL x2 | 1b040fd66f8a289c | 1b040fd66f8a289c |
| gbdt-onevsall/base           | IDENTICAL x2 | 8055b03a6a9b2693 | 8055b03a6a9b2693 |
| gbdt-onevsall/denormal       | IDENTICAL x2 | cecda816b6db2fbc | cecda816b6db2fbc |
| gbdt-onevsall/odd            | IDENTICAL x2 | d1c61adcfae95dc8 | d1c61adcfae95dc8 |
| gbdt-ordered-bayesian-noise/base | IDENTICAL x2 | 8293cb30ce62aab1 | 8293cb30ce62aab1 |
| gbdt-ordered-bayesian-noise/denormal | IDENTICAL x2 | 8293cb30ce62aab1 | 8293cb30ce62aab1 |
| gbdt-ordered-bayesian-noise/odd | IDENTICAL x2 | 8aff32ebd5f8541d | 8aff32ebd5f8541d |
| gbdt-ordered-rmse/base       | IDENTICAL x2 | a6e77b5224108785 | a6e77b5224108785 |
| gbdt-ordered-rmse/denormal   | IDENTICAL x2 | 67483c1b821234ac | 67483c1b821234ac |
| gbdt-ordered-rmse/odd        | IDENTICAL x2 | d83c83930af5d802 | d83c83930af5d802 |
| gbdt-ordered/base            | IDENTICAL x2 | 6b5f4e7353d2bbbf | 6b5f4e7353d2bbbf |
