lane	dataset	shape	arm	status	median_ms	min_ms	max_ms	rounds	ratio_ours_over	quality	hash	hash_stable	fit	fit_verdict	span
kde	istella	100000x220	ours	ok	63.8	62.0	69.1	5	None	mean_log_likelihood=-212.117,rows_without_density=0	81d11ed7fcd9eb38	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
svc	taxi	10000x11	cuml-gpu	ok	422.1	420.0	450.3	5	1.834	accuracy=0.7675,n_support=5586	8e5afbc3738c16ee	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
svc	taxi	10000x11	ours	ok	774.3	774.2	775.3	5	None	accuracy=0.7675,n_support=5527	2d85d6008566c340	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
svc	istella	10000x220	cuml-gpu	ok	20.0	19.8	23.3	5	3.072	accuracy=0.9222,n_support=2401	de5ac69d825801b3	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
svc	istella	10000x220	ours	ok	61.4	60.8	67.9	5	None	accuracy=0.9222,n_support=2400	8963cdc33da9ec9e	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
dbscan	taxi	1000000x11	cuml-gpu	ok	13619.4	13600.6	13730.4	5	0.084	ari_vs_ours=1,n_clusters=2900,noise_agreement_vs_ours=1,noise_fraction=0.216119,rows=1000000	67f7ed993025ab64	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
dbscan	taxi	1000000x11	ours	ok	1142.6	1139.5	1153.5	5	None	n_clusters=2900,noise_fraction=0.216119,rows=1000000	196722efbba0c85e	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
dbscan	istella	1000000x220	cuml-gpu	ok	54791.4	54688.4	56874.4	5	6.121	ari_vs_ours=0.999999,n_clusters=1501,noise_agreement_vs_ours=1,noise_fraction=0.16966,rows=1000000	ed564b859894f6c9	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
dbscan	istella	1000000x220	ours	ok	335403.3	334849.1	335839.7	5	None	n_clusters=1501,noise_fraction=0.16966,rows=1000000	cbddf242723cb4b1	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
hdbscan	taxi	1000000x11	cuml-gpu	ok	191.6	189.4	193.4	5	None	n_clusters=159,noise_fraction=0.13097,rows=100000	0e1d5bb909c81129	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
hdbscan	istella	1000000x220	cuml-gpu	ok	562.0	559.0	564.5	5	None	n_clusters=53,noise_fraction=0.25628,rows=100000	53d70b2685220b45	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
