NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_solver_host', '_mojolearn_trees_host'] commit=6796ceff932391adeaea8d788a6c5230ddfacf53
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | cpu-apple-m4     |
| holtwinters/denormal         | IDENTICAL x3 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | (not run)        |
| holtwinters/denormal_ftz     | IDENTICAL x3 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | (not run)        |
| holtwinters/dupes            | IDENTICAL x3 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 | (not run)        |
| holtwinters/hashed           | IDENTICAL x3 | 66f688c307cabc3b | 66f688c307cabc3b | 66f688c307cabc3b | (not run)        |
| holtwinters/negative         | IDENTICAL x3 | 8fa4116875bdf59c | 8fa4116875bdf59c | 8fa4116875bdf59c | (not run)        |
| holtwinters/odd              | IDENTICAL x3 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 | (not run)        |
| holtwinters/ties             | IDENTICAL x3 | b2a5df45db1395b0 | b2a5df45db1395b0 | b2a5df45db1395b0 | (not run)        |
| holtwinters/wide             | IDENTICAL x3 | 560cdc45a69cc987 | 560cdc45a69cc987 | 560cdc45a69cc987 | (not run)        |
| iforest/base                 | IDENTICAL x3 | 8703d4a008ffd13d | 8703d4a008ffd13d | 8703d4a008ffd13d | (not run)        |
| iforest/denormal             | IDENTICAL x3 | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | (not run)        |
| iforest/denormal_ftz         | IDENTICAL x3 | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | (not run)        |
| iforest/dupes                | IDENTICAL x3 | b879bcf3dcf99f38 | b879bcf3dcf99f38 | b879bcf3dcf99f38 | (not run)        |
| iforest/hashed               | IDENTICAL x3 | 72260557474879ae | 72260557474879ae | 72260557474879ae | (not run)        |
| iforest/negative             | IDENTICAL x3 | a5b7676e39778af5 | a5b7676e39778af5 | a5b7676e39778af5 | (not run)        |
| iforest/odd                  | IDENTICAL x3 | 9b849a13c8d35adb | 9b849a13c8d35adb | 9b849a13c8d35adb | (not run)        |
| iforest/ties                 | IDENTICAL x3 | 5043855ee14799da | 5043855ee14799da | 5043855ee14799da | (not run)        |
