| lane/fixture                 | verdict    | apple-m4         | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| kde/denormal_ftz             | IDENTICAL x3 | (not run)        | 2128392fe1eb228a | 2128392fe1eb228a | 2128392fe1eb228a |
| kde/dupes                    | IDENTICAL x3 | (not run)        | e0d6e3d0623d6112 | e0d6e3d0623d6112 | e0d6e3d0623d6112 |
| kde/hashed                   | IDENTICAL x3 | (not run)        | dc279c30b7c5d070 | dc279c30b7c5d070 | dc279c30b7c5d070 |
| kde/negative                 | IDENTICAL x3 | (not run)        | 84ca35b6a157c265 | 84ca35b6a157c265 | 84ca35b6a157c265 |
| kde/odd                      | IDENTICAL x3 | (not run)        | 8a2b6beee09a98f3 | 8a2b6beee09a98f3 | 8a2b6beee09a98f3 |
| kde/ties                     | IDENTICAL x3 | (not run)        | 0a800c7b3cca66e4 | 0a800c7b3cca66e4 | 0a800c7b3cca66e4 |
| kde/wide                     | IDENTICAL x3 | (not run)        | 36c3cbb2ef71f768 | 36c3cbb2ef71f768 | 36c3cbb2ef71f768 |
| kmeans/base                  | IDENTICAL x4 | 5aa44cc11034dec9 | 5aa44cc11034dec9 | 5aa44cc11034dec9 | 5aa44cc11034dec9 |
| kmeans/denormal              | IDENTICAL x4 | 993fe5caff144b0c | 993fe5caff144b0c | 993fe5caff144b0c | 993fe5caff144b0c |
| kmeans/denormal_ftz          | IDENTICAL x4 | 993fe5caff144b0c | 993fe5caff144b0c | 993fe5caff144b0c | 993fe5caff144b0c |
| kmeans/dupes                 | IDENTICAL x4 | 2ae942d45a51757a | 2ae942d45a51757a | 2ae942d45a51757a | 2ae942d45a51757a |
| kmeans/hashed                | IDENTICAL x4 | 0a570e84b0002723 | 0a570e84b0002723 | 0a570e84b0002723 | 0a570e84b0002723 |
| kmeans/negative              | IDENTICAL x4 | d4cc38e75f8e2d75 | d4cc38e75f8e2d75 | d4cc38e75f8e2d75 | d4cc38e75f8e2d75 |
| kmeans/odd                   | IDENTICAL x4 | 43d8a3d3859f4143 | 43d8a3d3859f4143 | 43d8a3d3859f4143 | 43d8a3d3859f4143 |
| kmeans/ties                  | IDENTICAL x4 | 3de3e103006de69c | 3de3e103006de69c | 3de3e103006de69c | 3de3e103006de69c |
| kmeans/wide                  | IDENTICAL x4 | 6f0529fcb3d60536 | 6f0529fcb3d60536 | 6f0529fcb3d60536 | 6f0529fcb3d60536 |
| knn-clf/base                 | IDENTICAL x3 | (not run)        | 7fb71bb7ee2b9cbf | 7fb71bb7ee2b9cbf | 7fb71bb7ee2b9cbf |
| knn-clf/denormal             | IDENTICAL x3 | (not run)        | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 |
