NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=3e7d0f47501c8e0f776dcdcfedeb45ffd6a28d28
| holtwinters/ties             | model  | DIVERGENT    | c94a8a39b1858c3b | 04753c8408d46e16 |
| holtwinters/ties             | batch  | DIVERGENT    | d98c7a31d057b190 | 66637f3e1b5e56c1 |
| holtwinters/ties             | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/ties             | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/ties             | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/ties             | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/wide             | infer  | DIVERGENT    | a376271e249ed91c | ce479293b26544bf |
| holtwinters/wide             | model  | DIVERGENT    | 2171881218e50720 | c230c24af4e7c68a |
| holtwinters/wide             | batch  | DIVERGENT    | 782f89106b8b9c8f | cba30972e9bbd237 |
| holtwinters/wide             | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/wide             | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/wide             | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/wide             | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/base | infer  | DIVERGENT    | f64346115fd1e485 | c194b5e58fbc1b23 |
| par-forecast-holtwinters/base | model  | DIVERGENT    | 574f8ee721ff8cb1 | 34de6fc2904f70ad |
| par-forecast-holtwinters/base | batch  | DIVERGENT    | 5a24aebcd557a49d | 9c2d7eed1bba3343 |
| par-forecast-holtwinters/base | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/base | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/base | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/base | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/denormal | infer  | DIVERGENT    | c510c55d7fe7634c | cc93f4db4d554e1b |
