# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: NVIDIA H100 80GB HBM3, 580.126.09, 81559 MiB, 9.0, 5, 16, 700.00 W, 31, 1980 MHz, GPU-6ba9b52d-1dbd-23cc-e297-f09331d8896f
# host: model name	: Intel(R) Xeon(R) Platinum 8480+ | nproc=2 | 6.8.0-106-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
pilegithub	leaf	step.shadow_copy	envelope.native_call	1	2.308	0.0077	1			
pilegithub	leaf	step.opt_refuse_scan	envelope.native_call	1	2.175	0.0073	1			
pilegithub	leaf	step.optimizer	envelope.native_call	1	1.713	0.0057	1			
pilegithub	leaf	step.validate_after_scan	envelope.native_call	1	2.147	0.0072	1			
pilegithub	leaf	step.bind_final_sync	envelope.native_call	1	0.002	0.0000	1			
pilegithub	leaf	step.bind_publish	envelope.native_call	1	0.014	0.0000	1			
pilegithub	remainder	remainder:envelope.native_call	envelope.native_call	1	0.358	0.0012				parent minus its children per step, then the median
pilegithub	category	gemm (every GEMM call, head and RMSNorm weight gradients included)	envelope.native_call	1	144.883	0.4835				leaves summed per step, then the median
pilegithub	category	attention kernels (fused launchers, regime scans, corner flags)	envelope.native_call	1	116.283	0.3881				leaves summed per step, then the median
pilegithub	category	refusal and validation scans	envelope.native_call	1	6.354	0.0212				leaves summed per step, then the median
pilegithub	category	rmsnorm forward	envelope.native_call	1	6.138	0.0205				leaves summed per step, then the median
pilegithub	category	remainders (timer prints, host work between ticks, untimed code)	envelope.native_call	1	4.199	0.0140				leaves summed per step, then the median
pilegithub	category	rmsnorm backward kernels (weight gradient GEMM under gemm)	envelope.native_call	1	4.048	0.0135				leaves summed per step, then the median
pilegithub	category	adamw update and its shadow copy	envelope.native_call	1	4.022	0.0134				leaves summed per step, then the median
pilegithub	category	logits softmax and cross entropy, forward and backward, loss readback	envelope.native_call	1	2.714	0.0091				leaves summed per step, then the median
pilegithub	category	embedding forward and backward	envelope.native_call	1	2.585	0.0086				leaves summed per step, then the median
pilegithub	category	ids upload, weight unpack and gradient pack copies	envelope.native_call	1	2.413	0.0081				leaves summed per step, then the median
pilegithub	category	attention rope and kv cache	envelope.native_call	1	2.349	0.0078				leaves summed per step, then the median
pilegithub	category	residual adds, copies and fan-in adds	envelope.native_call	1	1.823	0.0061				leaves summed per step, then the median
pilegithub	category	swiglu activation backward (gate product, silu)	envelope.native_call	1	1.062	0.0035				leaves summed per step, then the median
