EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL corpus
EXPECTED FAIL vendors
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL completed
EXPECTED FAIL loss
EXPECTED FAIL finite
MATCH 0 loss 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4
MATCH 27 loss 14.841093063354492 14.841093063354492
MATCH 28 loss 14.65607738494873 14.65607738494873
MATCH 29 loss 13.093059539794922 13.093059539794922
MATCH 30 loss 13.11563491821289 13.11563491821289
MATCH 31 loss 15.49402904510498 15.49402904510498
MATCH 32 loss 13.732487678527832 13.732487678527832
MATCH 33 loss 17.45810890197754 17.45810890197754
MATCH 34 loss 11.841752052307129 11.841752052307129
MATCH 35 loss 12.483621597290039 12.483621597290039
MATCH 36 loss 29.775876998901367 29.775876998901367
MATCH 37 loss 17.97577667236328 17.97577667236328
MATCH 38 loss 10.754670143127441 10.754670143127441
MATCH 39 loss 12.53567886352539 12.53567886352539
MATCH 40 loss 14.100502014160156 14.100502014160156
MATCH 41 loss 12.86448860168457 12.86448860168457
MATCH 42 loss 18.003650665283203 18.003650665283203
MATCH 43 loss 14.662257194519043 14.662257194519043
MATCH 44 loss 14.747304916381836 14.747304916381836
MATCH 45 loss 19.94812774658203 19.94812774658203
MATCH 46 loss 12.878761291503906 12.878761291503906
MATCH 47 loss 10.723625183105469 10.723625183105469
MATCH 48 loss 8.776759147644043 8.776759147644043
MATCH 49 loss 8.243780136108398 8.243780136108398
MATCH 50 loss 8.786890029907227 8.786890029907227
MATCH 51 loss 8.31800651550293 8.31800651550293
MATCH 52 loss 9.736988067626953 9.736988067626953
MATCH 53 loss 12.955093383789062 12.955093383789062
MATCH 54 loss 13.10881233215332 13.10881233215332
MATCH 55 loss 10.759145736694336 10.759145736694336
MATCH 56 loss 9.783246994018555 9.783246994018555
MATCH 57 loss 11.32480239868164 11.32480239868164
MATCH 58 loss 11.8117036819458 11.8117036819458
MATCH 59 loss 8.640698432922363 8.640698432922363
MATCH 60 loss 8.522851943969727 8.522851943969727
MATCH 61 loss 8.668839454650879 8.668839454650879
MATCH 62 loss 7.285854339599609 7.285854339599609
MATCH 63 loss 5.2485222816467285 5.2485222816467285
MATCH 64 loss 6.822127342224121 6.822127342224121
MATCH 65 loss 8.783235549926758 8.783235549926758
MATCH 66 loss 7.367780685424805 7.367780685424805
MATCH 67 loss 6.432770729064941 6.432770729064941
MATCH 68 loss 5.995640754699707 5.995640754699707
MATCH 69 loss 4.918903350830078 4.918903350830078
MATCH 70 loss 4.449345588684082 4.449345588684082
MATCH 71 loss 4.7726359367370605 4.7726359367370605
