CORPUS enwik8
EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL completed
EXPECTED FAIL timing
EXPECTED FAIL timing
EXPECTED FAIL loss
EXPECTED FAIL dispatch
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL corpus
EXPECTED FAIL attention
EXPECTED FAIL binding
EXPECTED FAIL finite
MATCH step 0 loss d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22 d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22
MATCH step 306 loss 2.1883997917175293 2.1883997917175293
MATCH step 307 loss 2.211942672729492 2.211942672729492
MATCH step 308 loss 2.2314724922180176 2.2314724922180176
MATCH step 309 loss 2.2828595638275146 2.2828595638275146
MATCH step 310 loss 2.1442768573760986 2.1442768573760986
MATCH step 311 loss 2.0539069175720215 2.0539069175720215
MATCH step 312 loss 2.0050830841064453 2.0050830841064453
MATCH step 313 loss 2.0712602138519287 2.0712602138519287
MATCH step 314 loss 2.082054615020752 2.082054615020752
MATCH step 315 loss 2.1064467430114746 2.1064467430114746
MATCH step 316 loss 2.0177741050720215 2.0177741050720215
MATCH step 317 loss 2.0026936531066895 2.0026936531066895
MATCH step 318 loss 2.31001615524292 2.31001615524292
MATCH step 319 loss 2.517862558364868 2.517862558364868
MATCH step 320 loss 3.277498960494995 3.277498960494995
MATCH step 321 loss 2.282804489135742 2.282804489135742
MATCH step 322 loss 2.1309046745300293 2.1309046745300293
MATCH step 323 loss 2.091049909591675 2.091049909591675
MATCH step 324 loss 2.564286231994629 2.564286231994629
MATCH step 325 loss 2.309145927429199 2.309145927429199
MATCH step 326 loss 2.16776180267334 2.16776180267334
MATCH step 327 loss 2.0785775184631348 2.0785775184631348
MATCH step 328 loss 2.0956552028656006 2.0956552028656006
MATCH step 329 loss 2.195070266723633 2.195070266723633
MATCH step 330 loss 2.3488025665283203 2.3488025665283203
MATCH step 331 loss 2.3385281562805176 2.3385281562805176
MATCH step 332 loss 2.3581387996673584 2.3581387996673584
MATCH step 333 loss 2.3861303329467773 2.3861303329467773
MATCH step 334 loss 2.1966335773468018 2.1966335773468018
MATCH step 335 loss 2.251600503921509 2.251600503921509
MATCH step 336 loss 2.193533182144165 2.193533182144165
MATCH step 337 loss 2.2077949047088623 2.2077949047088623
MATCH step 338 loss 2.316105365753174 2.316105365753174
MATCH step 339 loss 2.3096797466278076 2.3096797466278076
MATCH step 340 loss 2.237761974334717 2.237761974334717
MATCH step 341 loss 2.0507025718688965 2.0507025718688965
MATCH step 342 loss 2.13651180267334 2.13651180267334
MATCH step 343 loss 2.1380038261413574 2.1380038261413574
MATCH step 344 loss 2.2188754081726074 2.2188754081726074
MATCH step 345 loss 2.2986202239990234 2.2986202239990234
