UMAP sparse graph mode IDENTICAL
UMAP_SPARSE_BITS signed-zero sigma 0 528482304
UMAP_SPARSE_BITS signed-zero rho 1 0
UMAP_SPARSE_BITS signed-zero sigma 1 528482304
UMAP_SPARSE_BITS signed-zero rho 2 0
UMAP_SPARSE_BITS signed-zero sigma 2 528482304
UMAP_SPARSE_BITS signed-zero directed 0 0
UMAP_SPARSE_BITS signed-zero weights 0 0
UMAP_SPARSE_BITS signed-zero directed 1 1065353216
UMAP_SPARSE_BITS signed-zero weights 1 1065353216
UMAP_SPARSE_BITS signed-zero directed 2 1065353216
UMAP_SPARSE_BITS signed-zero weights 2 1065353216
UMAP_SPARSE_BITS signed-zero directed 3 1065353216
UMAP_SPARSE_BITS signed-zero weights 3 1065353216
UMAP_SPARSE_BITS signed-zero directed 4 0
UMAP_SPARSE_BITS signed-zero weights 4 0
UMAP_SPARSE_BITS signed-zero directed 5 1065353216
UMAP_SPARSE_BITS signed-zero weights 5 1065353216
UMAP_SPARSE_BITS signed-zero directed 6 1065353216
UMAP_SPARSE_BITS signed-zero weights 6 1065353216
UMAP_SPARSE_BITS signed-zero directed 7 1065353216
UMAP_SPARSE_BITS signed-zero weights 7 1065353216
UMAP_SPARSE_BITS signed-zero directed 8 0
UMAP_SPARSE_BITS signed-zero weights 8 0
UMAP_SPARSE_CASE_PASS signed-zero
UMAP_SPARSE_BITS minimum-k2 rho 0 1065353216
UMAP_SPARSE_BITS minimum-k2 sigma 0 1065353216
UMAP_SPARSE_BITS minimum-k2 rho 1 1065353216
UMAP_SPARSE_BITS minimum-k2 sigma 1 1065353216
UMAP_SPARSE_BITS minimum-k2 directed 0 0
UMAP_SPARSE_BITS minimum-k2 weights 0 0
UMAP_SPARSE_BITS minimum-k2 directed 1 1065353216
UMAP_SPARSE_BITS minimum-k2 weights 1 1065353216
UMAP_SPARSE_BITS minimum-k2 directed 2 1065353216
UMAP_SPARSE_BITS minimum-k2 weights 2 1065353216
UMAP_SPARSE_BITS minimum-k2 directed 3 0
UMAP_SPARSE_BITS minimum-k2 weights 3 0
UMAP_SPARSE_CASE_PASS minimum-k2
UMAP sparse graph refusals PASS: 18 cases
UMAP_SPARSE_STORAGE 128 8 directed 896 union 1792 logical_bytes 24592 dense_graph_logical_bytes 132096
UMAP_SPARSE_STORAGE 256 8 directed 1792 union 3584 logical_bytes 49168 dense_graph_logical_bytes 526336
UMAP sparse graph PASS
