# the batch part of diff.three-columns.txt: every batch row and its summary
|------------------------------|------------|------------------|------------------|------------------|
| dbscan-brute-l1/hashed       | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-brute-l1/negative     | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-brute-l1/odd          | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-brute-l1/ties         | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-brute-l1/wide         | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/base         | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/denormal     | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/denormal_ftz | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/dupes        | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/hashed       | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/negative     | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/odd          | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/ties         | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-weighted/wide         | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/base                  | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/denormal              | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/denormal_ftz          | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/dupes                 | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/hashed                | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/negative              | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/odd                   | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/ties                  | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan/wide                  | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| elasticnet-l2end-no-intercept/base | batch  | IDENTICAL x3 | f182600116558577 | f182600116558577 | f182600116558577 |
